Provider Ticket,Broker Ticket,Type,Currency,Standard Lots,Date Open,Date Close,Price Open,Price Close,Highest Profit (Pips),Worst Drawdown (Pips),Interest ($),Profit (Pips),Profit ($)
400.1573400499403,47951204,BUY,AUD/CAD,0.01,2019/11/14 07:21:46 UTC,2019/11/14 13:58:34 UTC,0.90101,0.89874,11.2,-22.8,0.0,-22.7,-1.91
400.1573400613430,47953824,BUY,USD/JPY,0.01,2019/11/14 17:12:48 UTC,2019/11/15 03:40:04 UTC,108.349,108.581,27.8,-10.7,0.03,23.2,1.97
400.1573400734195,47955523,BUY,AUD/CAD,0.01,2019/11/15 04:48:23 UTC,2019/11/19 00:59:42 UTC,0.89845,0.89695,37.5,-15.0,-0.04,-15.0,-1.38
400.1573401430356,47966079,BUY,AUD/CHF,0.01,2019/11/19 16:03:48 UTC,2019/11/26 18:42:24 UTC,0.67555,0.67694,25.5,-42.8,0.08,13.9,1.28
400.1573403896919,48006937,BUY,USD/JPY,0.01,2019/12/02 19:37:49 UTC,2019/12/03 14:16:15 UTC,109.002,108.672,20.4,-33.0,0.03,-33.0,-3.21
400.1573404193149,48012725,BUY,AUD/NZD,0.01,2019/12/03 23:13:06 UTC,2019/12/04 00:29:59 UTC,1.05096,1.04833,1.5,-26.3,0.0,-26.3,-1.92
400.1573404096804,48011109,SELL,USD/JPY,0.01,2019/12/03 14:18:21 UTC,2019/12/04 09:31:00 UTC,108.666,108.778,23.4,-11.2,-0.08,-11.2,-1.31
400.1573404326368,48015255,BUY,AUD/NZD,0.01,2019/12/04 11:29:04 UTC,2019/12/04 12:42:29 UTC,1.04942,1.04814,1.7,-13.0,0.0,-12.8,-1.04
400.1573404359457,48016361,BUY,AUD/NZD,0.01,2019/12/04 14:20:45 UTC,2019/12/04 23:00:07 UTC,1.0474,1.04698,25.5,-4.2,0.0,-4.2,-0.47
400.1573404365003,48016431,SELL,EUR/JPY,0.01,2019/12/04 14:48:59 UTC,2019/12/05 00:09:38 UTC,120.703,120.669,17.4,-11.3,0.01,3.4,0.12
400.1573404496280,48019169,BUY,EUR/AUD,0.01,2019/12/05 02:25:53 UTC,2019/12/05 13:55:24 UTC,1.61914,1.62563,69.2,-9.8,0.0,64.9,4.23
400.1573404786594,48023565,BUY,AUD/NZD,0.01,2019/12/06 05:07:59 UTC,2019/12/06 15:15:19 UTC,1.04337,1.04144,7.0,-19.3,0.0,-19.3,-1.46
400.1573404906952,48026099,BUY,AUD/CAD,0.01,2019/12/06 15:40:12 UTC,2019/12/09 08:42:41 UTC,0.9057,0.90459,16.7,-11.1,-0.03,-11.1,-1.07
400.1575817792305,48030809,SELL,CHF/JPY,0.01,2019/12/09 17:55:30 UTC,2019/12/10 08:05:00 UTC,109.892,110.041,2.4,-15.3,0.01,-14.9,-1.56
400.1575818028452,48034995,SELL,EUR/CAD,0.01,2019/12/10 16:38:50 UTC,2019/12/11 17:59:12 UTC,1.46753,1.46269,51.1,-10.7,0.03,48.4,3.5
400.1575818015103,48034598,BUY,CAD/CHF,0.01,2019/12/10 15:23:57 UTC,2019/12/12 15:17:23 UTC,0.74572,0.74801,25.4,-28.0,0.11,22.9,2.23
400.1575818390736,48040941,SELL,EUR/NZD,0.01,2019/12/12 02:43:34 UTC,2019/12/12 15:30:03 UTC,1.69019,1.68786,34.1,-30.4,0.0,23.3,1.34
400.1575818546622,48044939,SELL,CAD/CHF,0.01,2019/12/12 16:47:11 UTC,2019/12/12 22:07:25 UTC,0.74794,0.74625,22.3,-12.9,-0.08,16.9,1.44
400.1575818560078,48045207,BUY,EUR/CAD,0.01,2019/12/12 18:02:03 UTC,2019/12/12 22:07:26 UTC,1.4651,1.47093,79.1,-15.0,-0.11,58.3,4.11
400.1575818611276,48046841,BUY,EUR/NZD,0.01,2019/12/12 22:20:22 UTC,2019/12/12 23:05:07 UTC,1.68571,1.68928,53.5,-16.5,0.0,35.7,2.16
400.1575818620792,48047333,SELL,EUR/AUD,0.01,2019/12/12 23:05:37 UTC,2019/12/13 09:38:42 UTC,1.61362,1.61681,18.5,-31.9,0.0,-31.9,-2.41
400.1575818804700,48051434,BUY,AUD/CHF,0.01,2019/12/13 15:18:44 UTC,2019/12/17 08:30:42 UTC,0.67927,0.67286,0.8,-64.1,0.04,-64.1,-6.68
400.1575819390253,48061362,SELL,AUD/USD,0.01,2019/12/17 16:11:14 UTC,2019/12/19 00:30:00 UTC,0.68507,0.68751,11.7,-29.1,0.03,-24.4,-2.61
400.1575818806951,48051471,BUY,EUR/USD,0.01,2019/12/13 15:31:30 UTC,2019/12/20 11:15:18 UTC,1.11362,1.10991,38.2,-37.1,-0.75,-37.1,-4.66
